"CD_DAY (Date)","2021","2020","2019","2018","2017"
"31-12-2020",,362,302,304,313
"30-12-2020",,339,311,321,320
"29-12-2020",,381,306,380,343
"28-12-2020",,388,283,335,350
"27-12-2020",,348,345,325,331
"26-12-2020",,321,303,314,352
"25-12-2020",,353,278,284,341
"24-12-2020",,390,328,292,318
"23-12-2020",,404,309,308,301
"22-12-2020",,422,307,315,361
"21-12-2020",,364,317,329,325
"20-12-2020",,351,341,337,348
"19-12-2020",,373,351,319,319
"18-12-2020",,387,327,345,300
"17-12-2020",,395,354,310,297
"16-12-2020",,387,340,312,331
"15-12-2020",,438,310,335,356
"14-12-2020",,393,306,310,344
"13-12-2020",,362,324,327,345
"12-12-2020",,397,339,318,310
"11-12-2020",,434,314,305,342
"10-12-2020",,369,320,326,290
"09-12-2020",,394,300,282,329
"08-12-2020",,398,289,312,346
"07-12-2020",,421,311,351,323
"06-12-2020",,347,371,309,319
"05-12-2020",,378,321,323,329
"04-12-2020",,415,299,313,340
"03-12-2020",,387,280,283,284
"02-12-2020",,405,290,271,310
"01-12-2020",,396,276,320,294
"30-11-2020",,364,287,293,291
"29-11-2020",,359,302,301,304
"28-11-2020",,413,317,307,301
"27-11-2020",,411,299,322,296
"26-11-2020",,436,323,293,263
"25-11-2020",,428,318,277,314
"24-11-2020",,415,303,272,308
"23-11-2020",,426,301,317,302
"22-11-2020",,377,336,292,303
"21-11-2020",,452,324,327,318
"20-11-2020",,463,320,277,306
"19-11-2020",,443,274,298,274
"18-11-2020",,460,329,270,298
"17-11-2020",,485,289,269,298
"16-11-2020",,498,293,288,312
"15-11-2020",,440,297,291,288
"14-11-2020",,473,317,284,312
"13-11-2020",,497,290,299,296
"12-11-2020",,465,265,316,260
"11-11-2020",,481,263,289,286
"10-11-2020",,551,243,268,280
"09-11-2020",,530,304,283,282
"08-11-2020",,508,280,276,271
"07-11-2020",,562,283,311,293
"06-11-2020",,566,288,315,267
"05-11-2020",,501,308,307,238
"04-11-2020",,503,295,242,270
"03-11-2020",,533,268,287,270
"02-11-2020",,520,270,280,273
"01-11-2020",,479,281,278,264
"31-10-2020",,505,278,257,292
"30-10-2020",,507,277,289,285
"29-10-2020",,435,290,274,275
"28-10-2020",,454,271,256,276
"27-10-2020",,478,241,265,270
"26-10-2020",,431,322,308,265
"25-10-2020",,396,299,260,303
"24-10-2020",,395,301,294,277
"23-10-2020",,408,311,265,247
"22-10-2020",,377,296,270,257
"21-10-2020",,383,295,262,302
"20-10-2020",,346,298,242,305
"19-10-2020",,317,277,281,286
"18-10-2020",,306,309,265,255
"17-10-2020",,298,286,290,306
"16-10-2020",,342,247,299,296
"15-10-2020",,294,272,318,290
"14-10-2020",,288,272,265,241
"13-10-2020",,334,289,304,323
"12-10-2020",,294,262,303,312
"11-10-2020",,321,281,291,310
"10-10-2020",,278,289,319,291
"09-10-2020",,298,297,240,292
"08-10-2020",,312,273,284,269
"07-10-2020",,283,260,230,292
"06-10-2020",,302,281,280,288
"05-10-2020",,273,306,302,259
"04-10-2020",,283,310,270,272
"03-10-2020",,255,289,311,282
"02-10-2020",,270,289,288,293
"01-10-2020",,295,320,284,258
"30-09-2020",,242,253,240,289
"29-09-2020",,282,271,271,293
"28-09-2020",,299,258,267,275
"27-09-2020",,242,297,299,298
"26-09-2020",,290,260,256,283
"25-09-2020",,289,251,271,267
"24-09-2020",,283,270,227,251
"23-09-2020",,298,299,227,258
"22-09-2020",,275,289,286,312
"21-09-2020",,250,261,277,288
"20-09-2020",,263,285,266,246
"19-09-2020",,276,285,310,284
"18-09-2020",,285,273,322,269
"17-09-2020",,274,272,282,255
"16-09-2020",,306,258,227,236
"15-09-2020",,331,233,258,273
"14-09-2020",,275,256,263,280
"13-09-2020",,237,270,262,268
"12-09-2020",,245,266,269,260
"11-09-2020",,294,273,269,251
"10-09-2020",,247,281,263,241
"09-09-2020",,276,254,237,293
"08-09-2020",,267,231,264,264
"07-09-2020",,256,264,307,283
"06-09-2020",,250,278,277,257
"05-09-2020",,289,250,269,268
"04-09-2020",,291,289,292,277
"03-09-2020",,273,246,263,244
"02-09-2020",,263,280,251,261
"01-09-2020",,267,250,272,284
"31-08-2020",,270,262,246,268
"30-08-2020",,247,279,265,299
"29-08-2020",,249,321,280,299
"28-08-2020",,270,282,277,269
"27-08-2020",,253,306,234,259
"26-08-2020",,298,306,270,295
"25-08-2020",,295,269,230,293
"24-08-2020",,266,273,276,267
"23-08-2020",,290,257,264,288
"22-08-2020",,285,256,297,291
"21-08-2020",,313,306,243,258
"20-08-2020",,339,253,244,209
"19-08-2020",,341,245,263,252
"18-08-2020",,322,242,246,272
"17-08-2020",,333,246,258,259
"16-08-2020",,341,275,299,277
"15-08-2020",,398,224,268,258
"14-08-2020",,419,268,260,257
"13-08-2020",,494,276,293,261
"12-08-2020",,448,246,234,231
"11-08-2020",,401,237,250,278
"10-08-2020",,384,244,283,244
"09-08-2020",,331,256,327,254
"08-08-2020",,312,248,299,272
"07-08-2020",,305,273,322,286
"06-08-2020",,306,251,285,216
"05-08-2020",,269,257,253,234
"04-08-2020",,262,254,329,276
"03-08-2020",,261,262,289,288
"02-08-2020",,269,273,295,259
"01-08-2020",,293,295,320,267
"31-07-2020",,302,271,328,268
"30-07-2020",,286,288,311,276
"29-07-2020",,277,273,306,296
"28-07-2020",,269,283,339,263
"27-07-2020",,262,330,311,274
"26-07-2020",,273,427,321,258
"25-07-2020",,238,387,295,265
"24-07-2020",,251,345,281,265
"23-07-2020",,302,275,254,252
"22-07-2020",,263,271,255,250
"21-07-2020",,242,237,285,214
"20-07-2020",,249,263,304,291
"19-07-2020",,275,277,294,291
"18-07-2020",,276,264,297,273
"17-07-2020",,259,277,279,256
"16-07-2020",,269,292,274,251
"15-07-2020",,305,272,253,247
"14-07-2020",,235,235,278,264
"13-07-2020",,243,284,283,281
"12-07-2020",,239,270,235,278
"11-07-2020",,232,256,252,242
"10-07-2020",,254,279,281,284
"09-07-2020",,264,218,251,228
"08-07-2020",,235,246,273,290
"07-07-2020",,258,222,300,281
"06-07-2020",,214,281,311,288
"05-07-2020",,231,294,308,251
"04-07-2020",,242,239,285,265
"03-07-2020",,251,298,285,298
"02-07-2020",,265,286,318,240
"01-07-2020",,276,315,271,247
"30-06-2020",,249,247,286,269
"29-06-2020",,258,242,297,258
"28-06-2020",,264,295,273,281
"27-06-2020",,273,265,255,273
"26-06-2020",,321,310,291,253
"25-06-2020",,284,314,277,254
"24-06-2020",,290,307,267,281
"23-06-2020",,272,260,240,308
"22-06-2020",,267,245,243,368
"21-06-2020",,240,240,243,288
"20-06-2020",,244,295,292,295
"19-06-2020",,236,303,266,307
"18-06-2020",,259,287,228,261
"17-06-2020",,277,283,209,261
"16-06-2020",,276,244,252,287
"15-06-2020",,292,266,291,287
"14-06-2020",,266,308,232,271
"13-06-2020",,266,264,259,256
"12-06-2020",,270,255,239,245
"11-06-2020",,288,257,252,238
"10-06-2020",,291,253,231,263
"09-06-2020",,278,248,253,274
"08-06-2020",,246,278,281,260
"07-06-2020",,216,297,274,264
"06-06-2020",,242,270,270,283
"05-06-2020",,261,280,280,233
"04-06-2020",,287,310,222,228
"03-06-2020",,274,283,237,272
"02-06-2020",,276,269,278,320
"01-06-2020",,256,301,275,283
"31-05-2020",,256,258,273,275
"30-05-2020",,284,290,311,284
"29-05-2020",,257,237,302,319
"28-05-2020",,297,314,277,317
"27-05-2020",,318,264,269,290
"26-05-2020",,275,266,270,275
"25-05-2020",,304,284,295,260
"24-05-2020",,272,267,281,296
"23-05-2020",,286,307,300,291
"22-05-2020",,326,283,281,280
"21-05-2020",,294,275,255,273
"20-05-2020",,327,313,248,286
"19-05-2020",,274,278,238,293
"18-05-2020",,308,299,265,304
"17-05-2020",,275,293,268,338
"16-05-2020",,270,307,273,317
"15-05-2020",,304,280,290,299
"14-05-2020",,296,296,278,277
"13-05-2020",,284,281,258,276
"12-05-2020",,305,273,278,334
"11-05-2020",,313,265,279,284
"10-05-2020",,334,297,257,274
"09-05-2020",,369,307,331,280
"08-05-2020",,351,311,298,284
"07-05-2020",,333,287,279,287
"06-05-2020",,314,294,281,312
"05-05-2020",,355,230,286,305
"04-05-2020",,341,300,289,294
"03-05-2020",,331,307,251,330
"02-05-2020",,302,294,231,275
"01-05-2020",,317,272,267,288
"30-04-2020",,349,302,262,299
"29-04-2020",,344,306,244,292
"28-04-2020",,417,270,254,302
"27-04-2020",,372,298,277,308
"26-04-2020",,399,316,298,285
"25-04-2020",,399,279,276,295
"24-04-2020",,409,308,327,298
"23-04-2020",,431,292,277,255
"22-04-2020",,465,283,275,267
"21-04-2020",,487,290,271,285
"20-04-2020",,466,278,336,270
"19-04-2020",,469,295,330,274
"18-04-2020",,489,312,289,280
"17-04-2020",,511,327,277,286
"16-04-2020",,556,316,266,280
"15-04-2020",,578,277,295,296
"14-04-2020",,541,289,267,278
"13-04-2020",,577,274,279,277
"12-04-2020",,564,301,335,273
"11-04-2020",,604,267,354,278
"10-04-2020",,675,303,321,272
"09-04-2020",,618,301,324,257
"08-04-2020",,646,234,297,312
"07-04-2020",,642,286,301,298
"06-04-2020",,559,324,326,274
"05-04-2020",,587,323,326,279
"04-04-2020",,602,348,326,275
"03-04-2020",,553,312,312,274
"02-04-2020",,603,301,315,262
"01-04-2020",,608,289,334,278
"31-03-2020",,574,306,330,318
"30-03-2020",,517,281,359,334
"29-03-2020",,455,292,345,290
"28-03-2020",,511,298,392,330
"27-03-2020",,513,292,358,256
"26-03-2020",,442,291,342,262
"25-03-2020",,455,303,320,300
"24-03-2020",,398,265,340,287
"23-03-2020",,442,305,414,346
"22-03-2020",,382,341,392,291
"21-03-2020",,397,341,374,303
"20-03-2020",,395,324,378,317
"19-03-2020",,357,317,376,260
"18-03-2020",,367,274,346,290
"17-03-2020",,321,332,364,297
"16-03-2020",,354,325,394,307
"15-03-2020",,297,335,388,288
"14-03-2020",,332,344,389,299
"13-03-2020",,329,352,427,295
"12-03-2020",,316,349,416,298
"11-03-2020",,341,298,389,293
"10-03-2020",,349,292,407,310
"09-03-2020",,290,336,460,302
"08-03-2020",,304,347,438,315
"07-03-2020",,287,372,462,306
"06-03-2020",,311,381,415,314
"05-03-2020",,322,334,445,287
"04-03-2020",,340,327,417,345
"03-03-2020",,305,335,443,317
"02-03-2020",,353,314,441,332
"01-03-2020",,306,395,441,330
"29-02-2020",,308,,,
"28-02-2020",,310,343,445,370
"27-02-2020",,323,367,425,334
"26-02-2020",,339,314,390,315
"25-02-2020",,349,360,361,349
"24-02-2020",,323,297,394,335
"23-02-2020",,315,348,383,376
"22-02-2020",,336,332,404,360
"21-02-2020",,335,375,385,334
"20-02-2020",,344,360,374,320
"19-02-2020",,370,364,327,327
"18-02-2020",,327,342,334,362
"17-02-2020",,288,315,386,379
"16-02-2020",,299,341,376,399
"15-02-2020",,343,343,382,381
"14-02-2020",,355,345,385,377
"13-02-2020",,336,349,357,406
"12-02-2020",,323,345,345,355
"11-02-2020",,327,371,314,407
"10-02-2020",,338,333,342,374
"09-02-2020",,290,377,367,383
"08-02-2020",,322,348,367,382
"07-02-2020",,302,423,309,407
"06-02-2020",,295,355,345,383
"05-02-2020",,335,378,309,358
"04-02-2020",,314,330,301,410
"03-02-2020",,321,332,315,444
"02-02-2020",,332,333,325,458
"01-02-2020",,338,346,342,431
"31-01-2020",,395,365,386,433
"30-01-2020",,334,372,355,416
"29-01-2020",,330,352,331,416
"28-01-2020",,331,321,301,377
"27-01-2020",,313,329,315,393
"26-01-2020",,322,339,298,383
"25-01-2020",,265,380,347,378
"24-01-2020",,339,365,323,376
"23-01-2020",,326,333,352,368
"22-01-2020",,331,336,317,388
"21-01-2020",,318,313,339,388
"20-01-2020",,312,295,343,379
"19-01-2020",,310,336,336,356
"18-01-2020",,332,339,332,376
"17-01-2020",,336,322,335,388
"16-01-2020",,350,339,337,370
"15-01-2020",,324,332,314,352
"14-01-2020",,350,349,311,382
"13-01-2020",,324,317,309,419
"12-01-2020",,292,347,354,399
"11-01-2020",,321,325,349,396
"10-01-2020",316,328,335,350,420
"09-01-2020",329,388,318,348,367
"08-01-2020",370,382,372,296,359
"07-01-2020",364,326,333,309,417
"06-01-2020",353,371,289,303,344
"05-01-2020",354,300,323,374,378
"04-01-2020",337,325,356,363,360
"03-01-2020",311,354,355,359,338
"02-01-2020",305,325,355,357,361
"01-01-2020",339,326,326,317,351
