"Province","Mois","MS_NUM_DEATH_2020"
"Hainaut","11-2020",2332
"Anvers","04-2020",2113
"Hainaut","04-2020",2097
"Anvers","11-2020",2022
"Anvers","12-2020",1885
"Fl. orientale","04-2020",1834
"Liège","04-2020",1812
"Liège","11-2020",1809
"Fl. orientale","11-2020",1797
"Anvers","03-2020",1722
"Fl. orientale","12-2020",1709
" Bruxelles","04-2020",1698
"Hainaut","10-2020",1688
"Anvers","08-2020",1665
"Hainaut","03-2020",1659
"Fl. occidentale","04-2020",1652
"Anvers","01-2020",1578
"Anvers","10-2020",1578
"Anvers","05-2020",1575
"Hainaut","12-2020",1574
"Fl. occidentale","12-2020",1555
"Liège","10-2020",1497
"Fl. orientale","03-2020",1454
"Brab. flamand","04-2020",1444
"Anvers","02-2020",1430
"Fl. occidentale","11-2020",1425
"Hainaut","01-2020",1390
"Fl. orientale","01-2020",1375
"Hainaut","08-2020",1372
"Limbourg","04-2020",1356
"Anvers","07-2020",1306
"Hainaut","02-2020",1304
"Fl. orientale","08-2020",1299
"Liège","03-2020",1297
"Fl. occidentale","03-2020",1291
"Anvers","09-2020",1283
"Fl. occidentale","01-2020",1274
"Anvers","06-2020",1269
"Fl. orientale","10-2020",1258
"Fl. orientale","05-2020",1241
"Hainaut","05-2020",1238
" Bruxelles","11-2020",1226
"Liège","12-2020",1198
"Fl. orientale","02-2020",1197
"Fl. occidentale","02-2020",1177
"Fl. occidentale","08-2020",1171
"Brab. flamand","11-2020",1159
" Bruxelles","03-2020",1139
"Fl. orientale","07-2020",1127
"Brab. flamand","12-2020",1125
"Fl. occidentale","05-2020",1122
"Fl. occidentale","10-2020",1113
"Hainaut","09-2020",1104
"Liège","01-2020",1101
"Fl. orientale","06-2020",1100
"Hainaut","06-2020",1072
"Fl. orientale","09-2020",1064
"Brab. flamand","03-2020",1059
"Hainaut","07-2020",1036
"Liège","02-2020",1030
"Liège","08-2020",1025
"Fl. occidentale","07-2020",995
"Brab. flamand","01-2020",979
"Fl. occidentale","09-2020",975
" Bruxelles","10-2020",967
"Liège","05-2020",956
"Fl. occidentale","06-2020",946
"Brab. flamand","08-2020",917
"Limbourg","03-2020",915
"Brab. flamand","10-2020",893
"Liège","09-2020",893
"Brab. flamand","05-2020",886
" Bruxelles","12-2020",882
"Liège","06-2020",860
"Brab. flamand","02-2020",828
" Bruxelles","08-2020",818
"Liège","07-2020",812
" Bruxelles","02-2020",796
" Bruxelles","01-2020",792
" Bruxelles","05-2020",787
"Brab. flamand","09-2020",776
"Limbourg","12-2020",754
"Limbourg","11-2020",749
"Brab. flamand","07-2020",736
"Brab. flamand","06-2020",727
"Limbourg","05-2020",717
"Namur","04-2020",713
"Limbourg","02-2020",708
"Limbourg","01-2020",702
"Namur","11-2020",688
" Bruxelles","09-2020",651
" Bruxelles","06-2020",646
" Bruxelles","07-2020",625
"Limbourg","10-2020",620
"Limbourg","08-2020",602
"Limbourg","06-2020",574
"Limbourg","09-2020",571
"Namur","12-2020",556
"Namur","10-2020",553
"Limbourg","07-2020",533
"Namur","03-2020",510
"Brab.  wallon","11-2020",490
"Namur","01-2020",486
"Brab.  wallon","04-2020",447
"Namur","08-2020",440
"Namur","02-2020",430
"Namur","05-2020",420
"Namur","07-2020",408
"Namur","06-2020",370
"Namur","09-2020",368
"Brab.  wallon","12-2020",365
"Luxembourg","04-2020",354
"Brab.  wallon","03-2020",348
"Brab.  wallon","01-2020",347
"Luxembourg","11-2020",342
"Brab.  wallon","10-2020",330
"Brab.  wallon","08-2020",329
"Brab.  wallon","05-2020",302
"Brab.  wallon","09-2020",301
"Luxembourg","12-2020",296
"Brab.  wallon","02-2020",292
"Brab.  wallon","06-2020",278
"Luxembourg","03-2020",268
"Luxembourg","10-2020",261
"Brab.  wallon","07-2020",257
"Luxembourg","01-2020",256
"Luxembourg","02-2020",245
"Luxembourg","09-2020",229
"Luxembourg","05-2020",228
"Luxembourg","08-2020",226
"Luxembourg","07-2020",202
"Luxembourg","06-2020",177
